subject_id,subject_name,qualification(s)
9706,Accounting,AS-Level A-Level
8679,Afrikaans - Language (AS Level only),AS-Level
9680,Arabic,AS-Level A-Level
8680,Arabic - Language (AS Level only),AS-Level
9479,Art - Design,AS-Level A-Level
9484,Biblical Studies,AS-Level A-Level
9700,Biology,AS-Level A-Level
9609,Business,AS-Level A-Level
9701,Chemistry,AS-Level A-Level
9868,Chinese - Language - Literature (A Level only),A-Level
8681,Chinese - Language (AS Level only),AS-Level
9715,Chinese (A Level only),A-Level
8238,Chinese Language (AS Level),AS-Level A-Level
9274,Classical Studies,AS-Level A-Level
9618,Computer Science,AS-Level A-Level
9705,Design - Technology,AS-Level A-Level
9631,Design - Textiles,AS-Level A-Level
9481,Digital Media - Design,AS-Level A-Level
9011,Divinity (A Level only),A-Level
8041,Divinity (AS Level only),AS-Level
9482,Drama,AS-Level A-Level
9708,Economics,AS-Level A-Level
8695,English - Language and Literature (AS Level only),AS-Level
9695,English - Literature,AS-Level A-Level
8021,English General Paper (AS Level only),AS-Level
9093,English Language,AS-Level A-Level
8291,Environmental Management (AS only),AS-Level
8682,French - Language (AS Level only),AS-Level
9716,French (A Level only),A-Level
9898,French Language - Literature,AS-Level A-Level
8028,French Language (AS Level),AS-Level A-Level
9696,Geography,AS-Level A-Level
9897,German,AS-Level A-Level
8683,German - Language (AS Level only),AS-Level
8027,German - Language (AS Level),AS-Level A-Level
9717,German (A Level only),A-Level
9239,Global Perspectives - Research,AS-Level A-Level
8687,Hindi - Language (AS Level only),AS-Level
8675,Hindi - Literature (AS Level only),AS-Level
9687,Hindi (A Level only),A-Level
9487,Hinduism,AS-Level A-Level
9489,History,AS-Level A-Level
9626,Information Technology,AS-Level A-Level
9488,Islamic Studies,AS-Level A-Level
8281,Japanese Language (AS Level only),AS-Level
9084,Law,AS-Level A-Level
9693,Marine Science,AS-Level A-Level
9709,Mathematics,AS-Level A-Level
9231,Mathematics - Further,AS-Level A-Level
9607,Media Studies,AS-Level A-Level
9483,Music,AS-Level A-Level
9396,Physical Education,AS-Level A-Level
9702,Physics,AS-Level A-Level
